lights,Tdewpoint,RH_6,day_of_week,Windspeed,hour,month
0,5.194252829877586,72.798333005726,0,0.5925573650032034,3,4
20,11.630582814844088,43.417204506958925,0,3.8360416180808086,0,3
0,7.747400161185517,73.00786670308106,1,0.3513501234665837,0,5
0,1.3407991957269374,89.14498469622463,4,5.902816549866817,10,2
0,-0.007826290159579585,80.16694405619666,2,4.241829731284315,12,5
0,5.824134553745402,70.41057098226301,5,0.4669714407522356,21,3
0,-1.7772064975943342,87.83579290060615,4,3.2818120490149014,1,5
10,11.443031413118275,91.03241404105684,0,2.196050430040924,14,2
0,8.708042814909371,97.66306764749436,1,4.82211884692427,12,2
0,1.7926802326227196,74.81627045552477,1,7.3254914644172935,16,2
0,-3.425289177598052,49.40338762742434,0,0.0,11,1
30,9.439724689178792,59.17918623926117,1,4.321706005562589,2,2
10,3.2802525520601895,92.19160348138186,1,3.6472309020128257,7,2
0,8.952910379162809,29.161695823549334,1,5.685354339010243,8,1
0,-2.9273556611051905,66.09318539045587,6,4.562343678368915,18,5
0,1.2465397235679503,42.35665574028094,5,2.1965089893211625,6,4
0,3.7827023396446,55.50447904192801,3,3.257680128712971,10,5
0,3.9577739118980215,94.43261072898599,3,2.088516727265593,21,4
0,1.8728407104104097,60.56178225939366,3,6.677282580209712,11,4
0,6.373342986246364,56.05557284817537,5,4.09199126252645,7,2
0,-0.7175848567730938,12.249828577435764,0,8.69998949450753,15,1
0,3.1634750673764014,77.85473710323865,2,3.8910586733766035,18,1
0,4.265304677098463,74.71579032584052,2,2.3032904458670656,23,4
0,5.9185966075158545,99.9,1,0.3293037997904573,7,2
0,6.745680673727358,45.02185111608894,0,0.0,0,3
10,-0.9567706497411246,61.43557355186894,5,0.1566850443802057,10,1
0,-2.674361818996257,62.37733672369249,2,4.6945380614597605,11,1
0,9.12011118082324,99.9,1,5.286748969753494,19,2
0,5.154647116875653,51.64064605292541,1,0.16390447974294942,5,5
0,0.6210694358554756,63.3005497504176,6,6.233688068544685,5,5
0,10.267243141907667,73.5449416576537,3,2.8556625064454813,1,2
0,4.245921220278991,60.42192134850247,5,4.399573765916397,15,3
0,8.707443245968609,40.7027629580306,0,7.991660135129226,12,2
20,4.0439231178458215,60.65494898874419,3,6.238102721241868,9,5
20,12.404818687630193,88.05250397750015,2,3.381523852741654,10,5
10,11.123743530474451,22.63333108268537,1,1.8552429635514458,4,4
0,2.716389939555449,58.75106292458771,0,0.0,15,1
0,7.836104851976297,32.800455912822315,5,2.27694827535037,9,3
0,6.467831695684195,91.8345538907758,0,3.5222249182515637,10,2
0,9.50163426573577,7.162106991446642,4,1.6199569116475798,13,5
0,-0.2868072389212255,37.19877634549022,1,3.718011927776767,23,5
0,6.638451137378192,66.35916006978003,6,4.228132629257629,12,2
0,8.20042484828424,99.9,5,3.4885800942290333,21,4
20,-3.6165859131385156,52.56097551889472,3,2.446451990264669,1,3
0,-1.2026458924643135,37.31472590891348,6,4.4531615173378185,1,2
0,-4.79315397359793,99.9,0,5.123045736895756,16,2
0,2.6306400711280604,9.503731484574203,0,1.3669430230580288,13,3
0,6.770543935793755,1.0,5,7.498258232691418,9,5
0,10.062565621996095,68.31544808916377,5,3.7980904488235723,10,2
0,4.071508376249251,38.97019176001814,0,4.085956294332347,6,5
30,10.592175538306703,22.79787938025901,1,5.7757414977243275,15,5
10,-2.0283327278535337,76.67424921162436,3,4.611415896702347,4,3
20,-3.38438259550105,62.20342829386649,6,6.3760998672880005,2,3
20,3.5277038310563618,37.03814354160905,2,4.743556380306588,20,5
0,5.371726169878597,14.727849907420605,3,2.5385325977191497,11,2
20,3.6235639116643035,81.78595979817644,3,4.925876600190404,10,5
0,-4.911484663015255,74.86272386102371,4,1.2362264634568572,2,5
0,3.3868796851737377,51.51977448331854,0,4.305855497911482,17,5
0,-1.7110833001857761,99.9,6,3.9582976723635537,13,1
0,6.569747373105454,21.276150646180724,2,3.529611381212499,17,2
0,5.298457405291385,7.089270455070327,1,3.724677913510698,9,2
0,-0.18175784493564606,33.05628132708186,2,0.0,16,4
10,1.6052161136724492,53.18908782747084,6,2.694705909425312,3,3
0,-0.6823208404555583,62.18905999583822,0,4.26733504497408,22,2
0,3.4977901262953917,47.09462701518415,2,4.431594992181983,9,4
0,7.767192532813564,65.57554064642908,5,1.520693228720995,12,1
0,-0.3740667602233776,15.623873278500682,6,7.142280850526651,6,2
10,5.87500449104727,99.58207053439929,5,1.9165660740474415,16,2
0,1.5364628950581705,52.05009012820946,6,6.416105176468251,18,4
30,0.43488455666802395,89.4126316470709,2,5.086899332633008,5,3
0,3.3117521983079135,65.28491139586542,5,2.455706012282234,10,3
0,-0.5817701004973381,68.83685749723784,4,8.391430351708621,13,4
0,1.4383430059317903,72.35722356103383,5,1.113884512394713,21,3
10,-1.2639690428081654,68.55511812092666,5,6.2928013603591415,12,2
0,12.002036891197825,74.6297725892295,5,6.492399705879963,6,1
0,3.9086250479079605,96.01192668015273,0,2.3959136350490917,2,1
0,0.8256047787553316,60.73067967421175,2,7.452991346447306,20,5
0,4.658277235276127,76.6944128014729,4,3.4268325411826166,13,3
0,3.289530255524981,51.81383393043113,6,4.747403482994622,20,1
0,2.8338172136839006,99.4684550868158,6,4.6778579654782755,0,1
10,6.336919884660989,33.53959448274588,1,3.7105313555367654,23,3
0,6.938184941945281,99.9,2,6.0272216566287256,13,5
0,1.535441375666863,53.358171020652826,1,5.984767612394952,9,4
0,1.3453521294811424,10.040716705090105,5,0.0,12,5
0,2.6069618599947195,58.59951104384957,5,7.236977390391036,23,1
0,-5.895041764101791,33.39445646604459,2,0.0,7,3
0,-2.594986042739132,80.79496674908232,4,6.5707502426146345,6,1
0,9.494263052673354,34.279973122609164,5,6.801554558138082,12,2
20,10.660767124112347,40.71055605807284,5,1.3655523162517187,14,1
0,2.716088381803674,1.0,4,3.032755262395268,17,2
0,6.1791602828295265,40.51982934670661,0,1.3294256429102647,9,5
0,5.066291652884048,1.0,4,3.512932852110219,18,3
0,15.5,5.270817910327608,3,3.2846917254909074,6,4
0,8.456929344381045,78.2958523113712,4,5.9508716723360005,23,3
0,3.224137617806658,79.08660578650208,0,7.251607508521885,0,1
0,-0.2474487744773901,67.8620038454526,6,7.46088062625774,1,5
0,-2.977769713391826,24.487964242856656,0,2.661753859525887,7,1
0,4.614165165672652,53.12288390570243,5,3.526902742066686,1,1
0,0.5880818497413687,54.49686499425235,2,0.0,10,3
0,-2.2051465778581125,18.526248186187537,4,2.0643863976196783,2,4
0,1.0485613168948675,99.9,1,6.404815914684503,18,3
0,-0.7760061258717847,81.93874842150879,2,7.999901617511458,11,3
0,10.837671872926196,47.72609226734568,5,1.0140903207426497,23,4
0,7.458875163741644,55.44657205306238,6,2.5874911099629276,3,2
20,3.7272644433359092,61.10016740294276,1,3.9750253745918807,9,4
0,9.968551344139744,1.0,3,4.726488515584637,0,3
0,4.085239670148447,46.909555905248844,5,2.0552348796526476,18,3
0,0.14792295552398604,33.36540645229435,2,5.079218880439205,1,3
0,10.149675979180746,23.408814518327937,4,2.8782669388116933,15,1
0,6.021244713993827,45.85286383263556,5,4.004326005983123,8,5
0,-0.5901754696681527,99.9,0,5.378814915454355,9,1
0,2.9623031420276087,74.57121411275722,2,4.055494110255771,8,4
20,0.08779665509795764,36.81696873567759,3,2.9700736232491725,21,4
10,-2.0396510318003225,72.4449258744873,5,3.7710739001861207,3,5
0,7.645695510584407,98.19873358807814,4,3.8231546037718362,11,4
10,11.770037243099157,83.41124311627453,1,3.1327730493635695,19,4
10,-2.1057915796943796,56.46655783488086,5,3.4053854686671055,23,4
0,6.12216455584873,34.457128348324915,1,7.958388595799628,23,3
20,1.0314904220266414,76.35860406440223,5,5.414689019110293,3,4
0,1.7173874295757048,66.86607675832083,2,3.3154642660176097,16,4
10,1.2758229741785767,82.49417841252044,6,5.748140707753615,18,5
20,0.1365698544477767,74.39456170757475,3,3.2214864982739697,5,3
0,3.9642380075852275,87.3024467258958,3,6.915338994906584,21,3
0,0.2751637591497502,37.936610449732456,2,4.945826268424384,16,5
0,4.895178004701595,95.64565279364264,3,3.7767304837369786,19,3
0,3.549975688937158,60.764272714828564,6,5.137204664241787,2,4
10,2.7584039585004847,99.9,6,0.18918771715268567,10,1
10,-0.04620308416372021,33.1410166423251,3,1.2777960724968063,9,3
0,1.3413542528963003,99.9,4,1.113178132772782,3,3
0,6.9293070359874775,60.77396587311437,0,4.3901367694918445,1,2
0,5.861878062573843,34.31753903117916,6,8.286528176641239,2,4
0,-0.3397931252457429,39.53613359088039,0,9.509160606084972,23,2
0,4.177370905891747,44.630326924586754,3,5.603755717522671,21,5
0,6.912511236297693,67.82177027700482,3,5.2674320074116485,4,3
20,-3.2418603822751217,70.89530734471664,0,0.0,23,2
0,6.039911520584046,36.73843963411556,1,2.709538510059446,23,2
0,0.9812335500701916,53.85044256647564,0,2.1087199446194536,8,3
0,6.154167335861459,99.9,3,2.517917284305822,16,2
0,0.5591034974135822,99.9,5,3.6275941173177264,7,4
30,-3.8101379300690104,68.20048099681941,1,2.8825535583354016,18,2
20,-3.0662604975176206,55.79288435511617,0,0.0,18,3
0,3.9624062833850253,58.34803591383643,4,5.8730447411949385,15,2
0,4.85015129552966,73.72004913927235,0,1.4102219008084296,0,4
0,-0.03258290770486516,22.749293530735688,1,4.626198553326181,19,5
0,6.439377340653397,46.59185420993396,4,9.12378588824718,7,3
0,-3.2087846660870865,2.6330133993253924,4,1.7861372546683505,7,4
0,3.48352538163874,67.04480615775248,4,0.0,8,2
0,-1.3190796145499464,74.76911127274215,0,3.338692268160079,23,5
0,1.0264839475851573,39.55791888528182,0,6.738446653549836,17,2
0,3.9595275999950186,99.9,5,8.840093343132462,16,5
20,0.15157580605192544,16.426720936191877,2,1.025854408465586,23,5
0,2.147631784920385,8.994090140071137,5,5.257271081009202,9,1
0,7.981750819555304,61.60071396413116,4,2.8991731304367034,9,4
0,1.3408486344304444,87.22599224652873,1,3.780048920945678,7,2
30,7.26614097460279,99.9,1,10.521620611004202,0,5
0,-0.9780155461379421,40.31492767988781,3,0.3556398713901521,23,1
0,5.983048813858209,88.20978195060235,5,4.661723596907161,7,1
0,9.807579559669069,53.409552038072405,0,5.18617084995228,13,4
0,-6.6,49.23177650561226,5,6.701253523275471,15,3
0,0.41801190786644193,82.134918900259,4,4.279930034962301,19,2
0,6.181321214910195,74.92881441831543,4,4.794851540199641,20,5
0,2.9090029769953736,5.504773713844223,2,3.079734671488997,15,2
0,5.31753310019274,99.9,3,4.6994412140978685,10,2
0,1.2272017101243269,97.59866115974745,3,3.198511732731516,14,5
0,4.123920530533369,35.12292667260009,1,5.563361534519983,21,4
10,3.107695687572768,66.93828661899933,2,3.133755238357076,7,1
0,8.659141362706443,69.99802778693261,0,4.964107966123179,9,4
0,4.827912705514992,62.729020589835756,5,3.9680220982732317,9,4
0,5.176831141549455,37.46718467300415,6,6.79994928794464,2,2
0,2.033028041728377,33.68814585485494,6,3.9137743558941036,17,5
0,1.715370473819605,53.81307903686994,0,0.0,6,3
0,1.9462775999105637,91.13936468209073,3,7.132999695528914,23,3
0,5.415294691025612,71.54212267709713,0,1.8196020310060157,3,1
0,1.9948252249187328,43.06451888841793,5,2.437226189528152,15,3
0,4.976210342101842,78.64734841866098,1,2.5796544721618426,2,2
0,12.466282332839075,1.0,3,7.408802685446096,13,2
0,7.414768217268119,90.39291195061956,5,0.0,21,2
0,2.393152962596343,1.0,3,11.731065571479608,9,2
20,8.799376243991265,43.319118421537276,4,6.628379921368344,16,4
0,2.0489743859988128,19.731583525323657,0,4.586959536474763,19,2
0,-4.788507803038316,14.28000674825548,2,3.9051944047177813,17,4
0,-0.46786019564245507,90.76861246951708,3,4.739707742502101,3,5
20,-4.086606415355139,40.040281758973535,3,5.317137744713351,19,3
10,2.286231591155194,65.4026120386055,1,5.621317449581331,10,2
0,3.8379654803664365,53.147516463929286,1,5.401660825865275,14,3
0,10.792771008479075,69.46881255027617,5,4.259333721928198,3,4
10,5.132052066547194,57.002070381099145,2,3.5560317079992387,23,3
0,2.8416573071513564,14.64412466431778,4,3.6689475201710353,3,3
0,7.239771191450194,85.6426014135742,3,3.561988517130883,10,5
0,-5.51422707092193,39.22866167235174,6,6.8188723337655475,17,4
0,4.749026962046631,6.121859414996081,2,5.4946901784865805,7,1
20,6.994214882614814,41.273379231130946,3,0.0,7,1
20,-2.4414417287965877,99.9,6,5.6475092089064995,8,2
0,8.558352287122933,81.09332560555703,5,4.517093083336564,22,3
0,5.180580088837224,43.74863708269493,2,3.993892420851766,10,4
0,2.0187203170145764,43.72977369753663,5,3.0874072722401187,19,5
